size_sqft,bedrooms,house_age,price
2126,2,7,352161.5983038938
2459,4,17,461681.19125661236
1860,2,20,308180.5043775651
2294,2,29,317505.4197569652
2130,2,4,350571.97655094357
2095,4,5,453282.2661474085
2724,2,23,395738.3980092812
2044,3,7,391209.70805944566
2638,4,13,483635.43636448623
1121,3,15,290675.0325158811
1466,4,11,381781.2827982471
2238,2,29,306285.2824935196
1330,3,4,319638.3989982098
2482,4,13,483165.28856494883
1087,1,7,198980.12840989427
2396,2,27,310903.011349324
2123,4,19,429119.79139002896
1871,1,22,252364.5635862032
2687,4,28,454324.18608236883
1130,1,2,215771.860655821
2685,2,10,417223.1911732072
2332,3,13,411163.73940064444
1769,1,25,220643.83704767068
1343,4,21,337075.38520467415
2515,2,6,389630.3389976655
2437,1,28,291477.69591973093
1805,4,28,375128.2459973318
1385,4,12,369515.9636534617
2215,4,12,446030.54607079626
1955,1,20,257306.2297374022
1276,1,11,215248.10582328436
2184,1,26,255751.68847136994
1459,3,23,300987.11799627385
2337,1,28,278757.6364702776
1021,1,25,161306.66715713072
1252,1,7,208932.77544450638
1747,3,1,379230.4831104976
1856,1,1,294626.8746546271
2584,4,25,439901.97062835767
1474,1,27,205086.31243450532
2082,4,25,398346.18202874315
1510,4,20,350060.5959093153
2705,4,13,465705.43106527627
2499,3,9,423868.2233498735
1699,3,3,363851.4305534897
1975,3,7,379666.76693734096
2806,1,6,363974.73139798245
1189,4,8,341775.0264567055
1957,3,27,350372.29498976446
1686,3,9,360184.138362133
1957,1,5,289881.18521955586
1562,3,1,335334.71954214363
2899,1,19,374633.4515801748
2590,2,10,390469.74650457216
2267,3,12,408096.0920158367
1831,2,24,270117.0436262807
2528,1,15,322685.5655253027
2154,4,27,415533.54087623645
2508,3,22,405391.0144553265
2842,1,24,344921.6185935345
1646,4,9,409603.4514799654
1020,4,20,298564.76235932566
1840,2,17,308501.2058212386
1166,1,17,186543.3995146483
2297,4,26,427653.0400532644
1387,3,20,282991.88016472384
1600,3,12,350798.48775198555
1315,2,7,271467.7428127113
1013,4,2,329467.48937834473
1241,1,3,215668.65539592985
1776,3,17,346872.2338636587
2369,4,5,481965.7530167253
1564,4,17,371123.9520571863
1897,2,24,295115.9080594872
2363,3,17,423488.8621222999
1091,3,27,270565.3675547151
2390,1,17,295504.8095482114
1955,3,2,385531.02668437245
2478,1,2,342687.9600018973
2451,3,28,371609.3056582839
1508,2,22,243385.96502053837
1775,3,23,315283.0537905652
2966,1,5,375122.80027175
1034,1,1,215296.0282814659
1205,2,1,259947.59481120188
2104,3,19,362129.38241064403
2955,3,2,500328.3766050939
2585,2,21,362006.95613904216
2895,3,12,469686.394691726
2411,3,26,381818.20750636666
2025,1,6,272481.12030993437
2021,3,23,360777.17077498115
2413,3,4,417785.66055909346
1565,2,23,255395.06780422403
2129,2,11,333570.48864956276
2795,4,24,483453.4647254697
2845,1,27,324940.5510222538
2500,3,17,414722.65171536116
1702,3,6,342594.4292756273
1401,4,24,362103.480891061
